our_stage1_rank,ticker,category,sector,fcf_yield_ttm,fcf_yield_q_ann,signal_70d_return,stage2_rank,net_debt_to_mcap,domestic_mcap_rank,global_marketcap_rank,marketcap_ffill,avg_10d_dollar_volume,combined_10d_dollar_volume,revenue_screen_ratio_max,revenue_quarterly,close_price,close_adj_price
64,CA1,Domestic Common Stock,Technology,0.090166201212606,0.040439990577082426,-0.12884817540171212,16.0,0.1579247335863954,171,198,13353118838.410934,83744820.8,83744820.8,13.778926649715546,833000000,23.06,23.06
65,CVH,Domestic Common Stock,Healthcare,0.08825179401820216,0.10267207281788603,0.25050272910083327,189.0,-0.03400186444744444,530,576,3587031895.744899,37731231.56250001,37731231.56250001,18.94498249232818,1149989000,59.71,26.538
66,ANF,Domestic Common Stock,Consumer Cyclical,0.08744928958209183,0.0383653452416371,-0.1779190230719182,10.0,-0.14380677019845156,747,803,2395182408.010017,83203990.3,83203990.3,9.14928670546684,355719000,24.77,24.77
67,GE,Domestic Common Stock Primary Class,Industrials,0.0863131704391144,0.11586614050948556,-0.017547369659879353,52.0,0.9684970471597554,1,1,298413322891.0769,552883504.0,552883504.0,692.9791335410316,33394000000,29.72,237.76
68,WHR,Domestic Common Stock Primary Class,Consumer Cyclical,0.08581376884567854,0.1806605659909022,-0.05064968740096254,39.0,0.29481326278518893,448,491,4649603500.31396,28120071.0,28120071.0,61.69909382515934,3113000000,66.41,66.41
69,RIG,Domestic Common Stock,Energy,0.08368686862143347,0.07574984447597306,0.071060236867456,109.0,0.4765813659424148,307,344,7181532896.381724,55682081.65832399,55682081.65832399,14.525509258229508,622900000,22.45,32.09
70,CVX,Domestic Common Stock,Energy,0.08235941986902726,0.06447465092248653,0.07789041447452894,116.0,0.11120443134776735,20,23,84932604080.06584,210747801.0,210747801.0,1269.9839247366738,30970000000,78.68,39.34
71,AXP,Domestic Common Stock,Financial Services,0.08194204744399275,0.09124934277617837,-0.0064247265150205735,62.0,0.4829586776626379,40,45,58126446050.2467,199206346.0,199206346.0,122.53696023917422,6419000000,45.19,45.19
72,NFB,Domestic Common Stock,Financial Services,0.08187124856403057,0.048858120148480906,0.11051762649315333,141.0,0.5369194614218011,370,411,5740867621.340952,26069454.225,26069454.225,4.282927953576774,227030000,37.85,25.233
73,MVL,Domestic Common Stock,Technology,0.08150048726894228,0.10938613156277291,0.11075482588340924,142.0,0.062456508387718185,881,941,1869743422.479757,30380839.335,30380839.335,1.957824689298582,84536000,25.98,17.32
